code,Side,Time,Preys_web,Preys_eating,Prey_remains,Preys_ID,silk_d,day,opisto_w,web_area,number_silk,Web_height,site_exp,check,colour,luxes,total_preys,t_luxes,colourSide,presence_decorations,b_luxes
A32,dorsal,8.3,0,0,0,NA,2,3,10.9,494.8008429,2,80,ventral,F,yellow,0.62,0,low,yellow_dorsal,yes,0
A32,ventral,8.3,0,0,0,NA,2,3,10.9,494.8008429,2,80,ventral,F,yellow,104,0,high,yellow_ventral,yes,1
A33,dorsal,8.3,0,0,0,NA,2,3,NA,607.8981785,2,190,ventral,F,yellow,0.34,0,low,yellow_dorsal,yes,0
A33,ventral,8.3,0,0,0,NA,2,3,NA,607.8981785,2,190,ventral,F,yellow,0.8,0,low,yellow_ventral,yes,0
A6,dorsal,8.3,0,0,0,NA,0,3,8.6,351.8583772,0,130,dorsal,M,yellow,0.88,0,low,yellow_dorsal,no,0
A6,ventral,8.3,0,0,0,NA,0,3,8.6,351.8583772,0,130,dorsal,M,yellow,0.13,0,low,yellow_ventral,no,0
A7,dorsal,8.3,0,0,0,NA,0,3,11.24,215.1990968,0,150,ventral,M,yellow,0.4,0,low,yellow_dorsal,no,0
A7,ventral,8.3,0,0,0,NA,0,3,11.24,215.1990968,0,150,ventral,M,yellow,174,0,high,yellow_ventral,no,1
B100,dorsal,8.3,0,0,0,NA,3,3,11.5,149.225651,3,100,ventral,F,white,0.19,0,low,white_dorsal,yes,0
B100,ventral,8.3,0,0,0,NA,3,3,11.5,149.225651,3,100,ventral,F,white,140,0,high,white_ventral,yes,1
B123,dorsal,8.3,0,0,0,NA,3,3,10.2,656.5928646,3,190,ventral,F,white,0.45,0,low,white_dorsal,yes,0
B123,ventral,8.3,0,0,0,NA,3,3,10.2,656.5928646,3,190,ventral,F,white,170,0,high,white_ventral,yes,1
B2,dorsal,8.3,0,0,0,NA,0,3,8.6,565.4866776,0,180,ventral,M,white,0.49,0,low,white_dorsal,no,0
B2,ventral,8.3,0,0,0,NA,0,3,8.6,565.4866776,0,180,ventral,M,white,0.58,0,low,white_ventral,no,0
B22,dorsal,8.3,0,0,0,NA,0,3,7,351.8583772,0,140,ventral,M,white,0.2,0,low,white_dorsal,no,0
B22,ventral,8.3,0,0,0,NA,0,3,7,351.8583772,0,140,ventral,M,white,0.99,0,low,white_ventral,no,0
B35,dorsal,8.3,0,0,0,NA,1,3,10.25,222.801751,1,66,ventral,E,white,0.34,0,low,white_dorsal,yes,0
B35,ventral,8.3,0,0,0,NA,1,3,10.25,222.801751,1,66,ventral,E,white,94,0,high,white_ventral,yes,1
B36,dorsal,8.3,0,0,0,NA,1,3,NA,580.0165437,1,180,ventral,E,white,0.18,0,low,white_dorsal,yes,0
B36,ventral,8.3,0,0,0,NA,1,3,NA,580.0165437,1,180,ventral,E,white,175,0,high,white_ventral,yes,1
B4,dorsal,8.3,0,0,0,NA,0,3,10.7,565.4866776,0,220,dorsal,M,white,107,0,high,white_dorsal,no,1
B4,ventral,8.3,0,0,0,NA,0,3,10.7,565.4866776,0,220,dorsal,M,white,0.48,0,low,white_ventral,no,0
B48,dorsal,8.3,0,0,0,NA,0,3,11.56,431.9689899,0,110,ventral,E,white,0.09,0,low,white_dorsal,no,0
B48,ventral,8.3,0,0,0,NA,0,3,11.56,431.9689899,0,110,ventral,E,white,118,0,high,white_ventral,no,1
B49.1,dorsal,8.3,0,0,0,NA,0,3,10.1,355.3926689,0,140,ventral,E,white,0.09,0,low,white_dorsal,no,0
